MetricName [name=records-lead, group=consumer-fetch-manager-metrics, description=The latest lead of the partition, tags={client-id=sample-app-7ec44b13-3a26-456a-9122-ebf9b41eaf50-StreamThread-6-consumer, topic=sample-app-foo-repartition-5-repartition, partition=11}]
MetricName [name=records-lead, group=consumer-fetch-manager-metrics, description=The latest lead of the partition, tags={client-id=sample-app-7ec44b13-3a26-456a-9122-ebf9b41eaf50-StreamThread-4-consumer, topic=sample-app-foo-repartition-2-repartition, partition=5}]
MetricName [name=records-lag, group=consumer-fetch-manager-metrics, description=The latest lag of the partition, tags={client-id=sample-app-7ec44b13-3a26-456a-9122-ebf9b41eaf50-StreamThread-1-consumer, topic=sample-app-foo-repartition-4-repartition, partition=8}]
MetricName [name=records-lag, group=consumer-fetch-manager-metrics, description=The latest lag of the partition, tags={client-id=sample-app-7ec44b13-3a26-456a-9122-ebf9b41eaf50-StreamThread-6-consumer, topic=sample-app-foo-repartition-2-repartition, partition=11}]
MetricName [name=records-lead-min, group=consumer-fetch-manager-metrics, description=The min lead of the partition, tags={client-id=sample-app-7ec44b13-3a26-456a-9122-ebf9b41eaf50-StreamThread-4-consumer, topic=sample-app-foo-repartition-3-repartition, partition=11}]
MetricName [name=records-lag-avg, group=consumer-fetch-manager-metrics, description=The average lag of the partition, tags={client-id=sample-app-7ec44b13-3a26-456a-9122-ebf9b41eaf50-StreamThread-4-consumer, topic=sample-app-foo-repartition-5-repartition, partition=5}]
MetricName [name=records-lead-avg, group=consumer-fetch-manager-metrics, description=The average lead of the partition, tags={client-id=sample-app-7ec44b13-3a26-456a-9122-ebf9b41eaf50-StreamThread-2-consumer, topic=sample-app-foo-repartition-1-repartition, partition=11}]
MetricName [name=records-lag-avg, group=consumer-fetch-manager-metrics, description=The average lag of the partition, tags={client-id=sample-app-7ec44b13-3a26-456a-9122-ebf9b41eaf50-StreamThread-5-consumer, topic=sample-app-foo-repartition-5-repartition, partition=8}]
MetricName [name=records-lead-avg, group=consumer-fetch-manager-metrics, description=The average lead of the partition, tags={client-id=sample-app-7ec44b13-3a26-456a-9122-ebf9b41eaf50-StreamThread-1-consumer, topic=sample-app-foo-repartition-4-repartition, partition=8}]
MetricName [name=records-lead-min, group=consumer-fetch-manager-metrics, description=The min lead of the partition, tags={client-id=sample-app-7ec44b13-3a26-456a-9122-ebf9b41eaf50-StreamThread-5-consumer, topic=sample-app-foo-repartition-1-repartition, partition=2}]
MetricName [name=records-lead, group=consumer-fetch-manager-metrics, description=The latest lead of the partition, tags={client-id=sample-app-7ec44b13-3a26-456a-9122-ebf9b41eaf50-StreamThread-1-consumer, topic=sample-app-foo-repartition-3-repartition, partition=2}]
MetricName [name=records-lead, group=consumer-fetch-manager-metrics, description=The latest lead of the partition, tags={client-id=sample-app-7ec44b13-3a26-456a-9122-ebf9b41eaf50-StreamThread-5-consumer, topic=sample-app-foo-repartition-2-repartition, partition=8}]
MetricName [name=records-lead-avg, group=consumer-fetch-manager-metrics, description=The average lead of the partition, tags={client-id=sample-app-7ec44b13-3a26-456a-9122-ebf9b41eaf50-StreamThread-5-consumer, topic=sample-app-foo-repartition-4-repartition, partition=2}]
MetricName [name=records-lag-avg, group=consumer-fetch-manager-metrics, description=The average lag of the partition, tags={client-id=sample-app-7ec44b13-3a26-456a-9122-ebf9b41eaf50-StreamThread-3-consumer, topic=sample-app-foo-repartition-2-repartition, partition=2}]
MetricName [name=records-lag-max, group=consumer-fetch-manager-metrics, description=The max lag of the partition, tags={client-id=sample-app-7ec44b13-3a26-456a-9122-ebf9b41eaf50-StreamThread-6-consumer, topic=sample-app-foo-repartition-4-repartition, partition=5}]
MetricName [name=records-lead, group=consumer-fetch-manager-metrics, description=The latest lead of the partition, tags={client-id=sample-app-7ec44b13-3a26-456a-9122-ebf9b41eaf50-StreamThread-3-consumer, topic=sample-app-foo-repartition-3-repartition, partition=8}]
MetricName [name=records-lead-min, group=consumer-fetch-manager-metrics, description=The min lead of the partition, tags={client-id=sample-app-7ec44b13-3a26-456a-9122-ebf9b41eaf50-StreamThread-6-consumer, topic=sample-app-foo-repartition-2-repartition, partition=11}]
MetricName [name=records-lag-max, group=consumer-fetch-manager-metrics, description=The max lag of the partition, tags={client-id=sample-app-7ec44b13-3a26-456a-9122-ebf9b41eaf50-StreamThread-3-consumer, topic=sample-app-foo-repartition-5-repartition, partition=2}]
